id,ellipse_sum
1,41
2,39
3,14
4,250
5,40
6,61
7,61
8,34
9,12
10,355
11,28
12,57
13,86
14,193
15,142
16,52
17,211
18,278
19,82
20,52
21,34
22,101
23,118
24,25
25,320
26,76
27,10
28,759
29,172
30,226
31,242
32,108
33,299
34,191
35,608
37,381
38,434
39,504
40,79
41,412
42,18
43,28
44,34
45,338
46,85
47,72
48,1
49,111
50,151
51,235
52,184
53,90
54,21
55,161
56,218
57,77
58,31
59,111
60,235
61,67
62,1059
63,146
64,135
65,83
66,93
67,89
68,10
69,55
70,139
71,129
72,39
73,29
74,438
75,317
76,126
77,231
78,884
79,73
80,160
81,74
82,28
83,793
84,92
85,340
86,720
87,24
88,171
89,20
90,44
91,164
92,272
93,46
94,17
95,178
96,319
97,316
98,265
99,258
100,216
101,639
102,109
103,52
104,18
105,11
106,6
107,51
108,40
109,114
110,439
111,1239
112,24
113,577
114,344
115,122
116,152
117,141
118,77
